'Cold-shock' DNA-binding domain	PF00313
GxGYxYP putative glycoside hydrolase C-terminal domain	PF14323
GxGYxYP_C	PF14323
GxGYxYP_N	PF16216
Gypsy	PF07253
Gypsy protein	PF07253
GyrI-like	PF06445
GyrI-like small molecule binding domain	PF06445
Gyro_capsid	PF04162
Gyrovirus capsid protein (VP1)	PF04162
H-K_ATPase_N	PF09040
H-NS histone family	PF00816
H-kinase_dim	PF02895
H-type lectin domain	PF09458
H2-forming N5,N10-methylene-tetrahydromethanopterin dehydrogenase	PF03201
H2TH	PF06831
HA	PF03457
HA2	PF04408
HABP4_PAI-RBP1	PF04774
HAD	PF12710
HAD superfamily, subfamily IIIB (Acid phosphatase)	PF03767
HAD-hyrolase-like	PF13242
HAD_2	PF13419
HAGH_C	PF16123
HALZ	PF02183
HAMP	PF00672
HAMP domain	PF00672
HAND	PF09110
HAND	PF09110
HAP	PF03866
HAP1 N-terminal conserved region	PF04849
HAP1_N	PF04849
HAP2-GCS1	PF10699
HARE-HTH	PF05066
HARP	PF07443
HAS barrel domain	PF09378
HAS-barrel	PF09378
HAT	PF02184
HAT (Half-A-TPR) repeat	PF02184
HATPase_c	PF02518
HATPase_c_2	PF13581
HATPase_c_3	PF13589
HATPase_c_4	PF13749
HATPase_c_5	PF14501
HAT_KAT11	PF08214
HAUS augmin-like complex subunit 2	PF15003
HAUS augmin-like complex subunit 3	PF14932
HAUS augmin-like complex subunit 4	PF14735
HAUS augmin-like complex subunit 5	PF14817
HAUS augmin-like complex subunit 6 N-terminus	PF14661
HAUS-augmin3	PF14932
HAUS2	PF15003
HAUS4	PF14735
HAUS5	PF14817
HAUS6_N	PF14661
HAV_VP	PF12944
HB1, ASXL, restriction endonuclease HTH domain	PF05066
HBB	PF06777
HBM	PF16591
HBS1 N-terminus	PF08938
HBS1_N	PF08938
HC2	PF07382
HCBP_related	PF06594
HCF-1 beta-propeller-interacting protein family	PF15226
HCMV glycoprotein pUL130	PF11668
HCMV_UL139	PF12507
HCMVantigenic_N	PF12154
HCNGP	PF07818
HCNGP-like protein	PF07818
HCO3- transporter family	PF00955
HCO3_cotransp	PF00955
HCR	PF07111
HCV NS5a protein C-terminal region	PF12941
HCV_NS1	PF01560
HCV_NS2	PF01538
HCV_NS4a	PF01006
HCV_NS4b	PF01001
HCV_NS5a	PF01506
HCV_NS5a_1a	PF08300
HCV_NS5a_1b	PF08301
HCV_NS5a_C	PF12941
HCV_capsid	PF01543
HCV_core	PF01542
HCV_env	PF01539
HCaRG	PF07258
HCaRG protein	PF07258
HD	PF01966
HD containing hydrolase-like enzyme	PF12917
HD domain	PF01966
HD domain	PF13023
HD domain	PF13328
HD domain	PF13487
HD-ZIP protein N terminus	PF04618
HD-ZIP_N	PF04618
HDA2-3	PF11496
HDAC4_Gln	PF12203
HDC	PF02329
HDNR	PF15115
HDOD	PF08668
HDOD domain	PF08668
HDPD	PF02924
HDV_ag	PF01517
HD_2	PF12917
HD_3	PF13023
HD_4	PF13328
HD_5	PF13487
HD_assoc	PF13286
HEAT	PF02985
HEAT repeat	PF02985
HEAT repeat associated with sister chromatid cohesion	PF12765
HEAT repeats	PF13646
HEAT-like repeat	PF13513
HEAT_2	PF13646
HEAT_EZ	PF13513
HEAT_PBS	PF03130
HEC/Ndc80p family	PF03801
HECA	PF15353
HECT	PF00632
HECT-domain (ubiquitin-transferase)	PF00632
HECT-like Ubiquitin-conjugating enzyme (E2)-binding	PF09814
HECT_2	PF09814
HECW_N	PF16562
HELP	PF03451
HELP motif	PF03451
HEM4	PF02602
HEPN	PF05168
HEPN domain	PF05168
HEPPP_synt_1	PF07307
HERV-K_REC	PF15695
HERV-K_env_2	PF13804
HET	PF06985
HET-S	PF17108
HET-s_218-289	PF11558
HEV_ORF1	PF02444
HEXIM	PF15313
HGAL	PF15666
HGD-D	PF06050
HGTP_anticodon	PF03129
HGTP_anticodon2	PF12745
HGWP	PF03578
HGWP repeat	PF03578
HHA	PF05321
HHH	PF00633
HHH_2	PF12826
HHH_3	PF12836
HHH_4	PF14490
HHH_5	PF14520
HHH_6	PF14579
HHH_7	PF14635
HHH_8	PF14716
HHV-1_VABD	PF16852
HHV-5_US34A	PF17087
HHV6-IE	PF03753
HH_signal	PF01085
HI0933-like protein	PF03486
HI0933_like	PF03486
HIF-1	PF11413
HIF-1 alpha C terminal transactivation domain	PF08778
HIF-1a_CTAD	PF08778
HIGH Nucleotidyl Transferase	PF05636
HIGH_NTase1	PF05636
HIGH_NTase1_ass	PF16581
HIG_1_N	PF04588
HILPDA	PF15220
HIM1	PF08732
HIM1	PF08732
HIN	PF02760
HIN-200/IF120x domain	PF02760
HIP1_clath_bdg	PF16515
HIPIP	PF01355
HIRA B motif	PF09453
HIRAN	PF08797
HIRAN domain	PF08797
HIRA_B	PF09453
HIT	PF01230
HIT domain	PF01230
HIT zinc finger	PF04438
HIUase/Transthyretin family	PF00576
HJURP_C	PF12347
HJURP_mid	PF12346
HK	PF02110
HK97-gp10_like	PF04883
HK_sensor	PF16750
HLH	PF00010
HMA	PF00403
HMD	PF03201
HMG (high mobility group) box	PF00505
HMG (high mobility group) box 5	PF14887
HMG-CoA_red	PF00368
HMG-box domain	PF09011
HMG14 and HMG17	PF01101
HMG14_17	PF01101
HMGL-like	PF00682
HMGL-like	PF00682
HMG_CoA_synt_C	PF08540
HMG_CoA_synt_N	PF01154
HMG_box	PF00505
HMG_box_2	PF09011
HMG_box_5	PF14887
HMMR_C	PF15908
HMMR_N	PF15905
HN	PF00423
HNF-1A_C	PF04813
HNF-1B_C	PF04812
HNF-1_N	PF04814
HNF3 C-terminal domain	PF09354
HNF_C	PF09354
HNH	PF01844
HNH endonuclease	PF01844
HNH endonuclease	PF13391
HNH endonuclease	PF13392
HNH endonuclease	PF13395
HNH endonuclease	PF14279
HNH/ENDO VII superfamily nuclease with conserved GHE residues	PF14410
HNH/Endo VII superfamily nuclease toxin with a HHH motif	PF15637
HNH/Endo VII superfamily nuclease toxins	PF15657
HNH/Endo VII superfamily toxin with a SHH signature	PF15652
HNH_2	PF13391
HNH_3	PF13392
HNH_4	PF13395
HNH_5	PF14279
HNHc_6	PF16784
HNOB	PF07700
HNOBA	PF07701
HOASN	PF14515
HOIP-UBA	PF16678
HOK_GEF	PF01848
HOOK	PF05622
HOOK protein	PF05622
HORMA	PF02301
HORMA domain	PF02301
HPC2 and ubinuclein domain	PF08729
HPD	PF05044
HPHLAWLY	PF14925
HPIH	PF13323
HPIP	PF15226
HPP	PF04982
HPP family	PF04982
HPPK	PF01288
HPS3_C	PF14763
HPS3_Mid	PF14762
HPS3_N	PF14761
HPS6	PF15702
HPTransfase	PF10090
HP_OMP	PF01856
HP_OMP_2	PF02521
HPr Serine kinase C-terminal domain	PF07475
HPr Serine kinase N terminus	PF02603
HR-like lesion-inducing	PF05514
HR1	PF02185
HRCT1	PF15758
HRDC	PF00570
HRDC domain	PF00570
HRG	PF16954
HRI1	PF16815
HRM	PF02793
HRXXH	PF13933
HR_lesion	PF05514
HS1_rep	PF02218
HSA	PF07529
HSA	PF07529
HSBP1	PF06825
HSCB C-terminal oligomerisation domain	PF07743
HSCB_C	PF07743
HSD3	PF15244
HSDR_N	PF04313
HSDR_N_2	PF13588
HSF-type DNA-binding	PF00447
HSF_DNA-bind	PF00447
HSL_N	PF06350
HSNSD	PF12062
HSP20	PF00011
HSP33	PF01430
HSP70	PF00012
HSP90	PF00183
HSP9_HSP12	PF04119
HSV U79 / HCMV P34	PF03064
HSV_VP16_C	PF12149
HTH DNA binding domain	PF04967
HTH DNA binding domain	PF11972
HTH domain	PF08279
HTH domain	PF13309
HTH-like	PF17007
HTH-like domain	PF13276
HTHP	PF11534
HTH_1	PF00126
HTH_10	PF04967
HTH_11	PF08279
HTH_12	PF08461
HTH_13	PF11972
HTH_15	PF12324
HTH_16	PF12645
HTH_17	PF12728
HTH_18	PF12833
HTH_19	PF12844
HTH_20	PF12840
HTH_21	PF13276
HTH_22	PF13309
HTH_23	PF13384
HTH_24	PF13412
HTH_25	PF13413
HTH_26	PF13443
HTH_27	PF13463
HTH_28	PF13518
HTH_29	PF13551
HTH_3	PF01381
HTH_30	PF13556
HTH_31	PF13560
HTH_32	PF13565
HTH_33	PF13592
HTH_34	PF13601
HTH_35	PF13693
HTH_36	PF13730
HTH_37	PF13744
HTH_38	PF13936
HTH_39	PF14090
HTH_40	PF14493
HTH_41	PF14502
HTH_42	PF06224
HTH_43	PF09904
HTH_44	PF14641
HTH_45	PF14947
HTH_46	PF15977
HTH_47	PF16221
HTH_5	PF01022
HTH_6	PF01418
HTH_7	PF02796
HTH_8	PF02954
HTH_9	PF08221
HTH_AraC	PF00165
HTH_AsnC-type	PF13404
HTH_CodY	PF08222
HTH_Crp_2	PF13545
HTH_DeoR	PF08220
HTH_IclR	PF09339
HTH_Mga	PF08280
HTH_OrfB_IS605	PF12323
HTH_Tnp_1	PF01527
HTH_Tnp_1_2	PF13022
HTH_Tnp_4	PF13613
HTH_Tnp_IS1	PF12759
HTH_Tnp_IS630	PF01710
HTH_Tnp_ISL3	PF13542
HTH_Tnp_Mu_1	PF02316
HTH_Tnp_Mu_2	PF09039
HTH_Tnp_Tc3_1	PF11427
HTH_Tnp_Tc3_2	PF01498
HTH_Tnp_Tc5	PF03221
HTH_WhiA	PF02650
HTH_micro	PF17007
HTH_psq	PF05225
HTLV Tax	PF02959
HTS	PF04204
HU-DNA_bdg	PF14848
HUN	PF08729
HVSL	PF09749
HV_small_capsid	PF17086
HWE histidine kinase	PF07536
HWE_HK	PF07536
HXXEE	PF13787
HXXSHH	PF07586
HYD1 signature containing ADP-ribosyltransferase	PF15633
HYE1 signature containing ADP-ribosyltransferase	PF15634
HYLS1_C	PF15311
HYR	PF02494
HYR domain	PF02494
H_PPase	PF03030
H_kinase_N	PF12282
H_lectin	PF09458
HaeII restriction endonuclease	PF09554
HaeIII restriction endonuclease	PF09556
Haem utilisation ChuX/HutX	PF06228
Haem-NO-binding	PF07700
Haem-binding domain	PF14376
Haem-binding uptake, Tiki superfamily, ChaN	PF04187
Haem-containing dehydratase	PF13816
Haem-degrading	PF03928
Haem-oxygenase-associated N-terminal helices	PF14515
Haem-transporter, endosomal/lysosomal, haem-responsive gene	PF16954
Haem_bd	PF14376
Haem_degrading	PF03928
Haem_oxygenas_2	PF14518
Haemadin	PF09065
Haemadin	PF09065
Haemagg_act	PF05860
Haemagglutinin	PF00509
Haemagglutinin-neuraminidase	PF00423
Haemagluttinin repeat	PF05594
Haemagluttinin repeat	PF13332
Haemin-degrading HemS.ChuX domain	PF05171
Haemocyan_bet_s	PF14830
Haemocyanin beta-sandwich	PF14830
Haemoglobin-haptoglobin utilisation, porphyrin transporter	PF16960
Haemolymph juvenile hormone binding protein (JHBP)	PF06585
Haemolysin E (HlyE)	PF06109
Haemolysin XhlA	PF10779
Haemolysin expression modulating protein	PF05321
Haemolysin secretion/activation protein ShlB/FhaC/HecB	PF03865
Haemolysin-III related	PF03006
Haemolysin-type calcium binding protein related domain	PF06594
Haemolysin-type calcium-binding repeat (2 copies)	PF00353
Haemolytic	PF01809
Haemolytic domain	PF01809
Haemophore, haem-binding	PF16525
Haemopoietic lineage transmembrane helix	PF15062
Hairpins	PF04877
Hairy Orange	PF07527
Hairy_orange	PF07527
HalX	PF08663
HalX domain	PF08663
Halo_GVPC	PF05465
Haloacid dehalogenase-like hydrolase	PF13344
Haloacid dehalogenase-like hydrolase	PF13419
Halobacterial gas vesicle protein C (GVPC) repeat	PF05465
Halocarboxylic acid dehydrogenase DehI	PF10778
Halocidin family	PF08108
Halogen_Hydrol	PF10112
Ham1 family	PF01725
Ham1p_like	PF01725
Hamartin	PF04388
Hamartin protein	PF04388
Hanta_G1	PF01567
Hanta_G2	PF01561
Hanta_nucleocap	PF00846
Hantavirus glycoprotein G1	PF01567
Hantavirus glycoprotein G2	PF01561
Hantavirus nucleocapsid protein	PF00846
Hap4_Hap_bind	PF10297
HapK	PF11639
Harakiri	PF15196
HasA	PF06438
Hat1_N	PF10394
HbrB	PF08539
HbrB-like	PF08539
Hc1	PF07432
Hce2	PF14856
HcyBio	PF01837
HdeA	PF06411
HdeA/HdeB family	PF06411
HeH	PF12949
HeH/LEM domain	PF12949
HeLo	PF14479
He_PIG	PF05345
He_PIG associated, NEW1 domain of bacterial glycohydrolase	PF10632
He_PIG_assoc	PF10632
Head assembly gene product	PF11113
Head binding	PF09008
Head domain of trimeric autotransporter adhesin	PF05658
Head fiber protein	PF11133
Head-tail_con	PF12236
Head_binding	PF09008
Headcase	PF16002
Headcase protein	PF16002
Headcase protein family homologue	PF15353
Heat induced stress protein YflT	PF11181
Heat shock factor binding protein 1	PF06825
Heat shock protein 9/12	PF04119
Heat stable E.coli enterotoxin 1	PF08090
Heat-labile enterotoxin alpha chain	PF01375
Heat-labile enterotoxin beta chain	PF01376
Heat-stable enterotoxin B, secretory	PF09075
Heat-stable enterotoxin ST	PF02048
Heavy-metal resistance	PF13801
Heavy-metal resistance protein CzcE	PF16986
Heavy-metal-associated domain	PF00403
Hedgehog amino-terminal signalling domain	PF01085
Hedgehog signalling target	PF15324
Hefutoxin family	PF08095
Helical and beta-bridge domain	PF06777
Helical bimodular sensor domain	PF16591
Helically-extended SH3 domain	PF14603
Helicase	PF02689
Helicase	PF05127
Helicase C-terminal domain	PF13307
Helicase associated domain	PF03457
Helicase associated domain (HA2)	PF04408
Helicase conserved C-terminal domain	PF00271
Helicase conserved C-terminal domain	PF13625
Helicase-associated putative binding domain, C-terminal	PF14773
Helicase_C	PF00271
Helicase_C_2	PF13307
Helicase_C_3	PF13625
Helicase_C_4	PF13871
Helicase_IV_N	PF12462
Helicase_RecD	PF05127
Helicase_Sgs1	PF11408
Helicobacter outer membrane protein	PF01856
Helicobacter pylori IceA2 protein	PF05862
Helicobacter pylori protein of unknown function (DUF874)	PF05917
Helitron helicase-like domain at N-terminus	PF14214
Helitron_like_N	PF14214
Helix-destabilising protein	PF02303
Helix-hairpin-helix containing domain	PF14490
Helix-hairpin-helix domain	PF14520
Helix-hairpin-helix domain	PF14716
Helix-hairpin-helix motif	PF00633
Helix-hairpin-helix motif	PF12826
Helix-hairpin-helix motif	PF12836
Helix-hairpin-helix motif	PF14579
Helix-hairpin-helix motif	PF14635
Helix-loop-helix DNA-binding domain	PF00010
Helix-turn-helix	PF01381
Helix-turn-helix DNA-binding domain of SPT6	PF14641
Helix-turn-helix domain	PF12323
Helix-turn-helix domain	PF12645
Helix-turn-helix domain	PF12728
Helix-turn-helix domain	PF12833
Helix-turn-helix domain	PF12840
Helix-turn-helix domain	PF12844
Helix-turn-helix domain	PF13413
Helix-turn-helix domain	PF13518
Helix-turn-helix domain	PF13560
Helix-turn-helix domain	PF13730
Helix-turn-helix domain	PF13744
Helix-turn-helix domain	PF13936
Helix-turn-helix domain	PF14090
Helix-turn-helix domain	PF14493
Helix-turn-helix domain	PF14502
Helix-turn-helix domain of alkylmercury lyase	PF12324
Helix-turn-helix domain of resolvase	PF02796
Helix-turn-helix domain of transposase family ISL3	PF13542
Helix-turn-helix domain, rpiR family	PF01418
Helix-turn-helix of DDE superfamily endonuclease	PF13613
Helix-turn-helix of insertion element transposase	PF13022
Helo_like_N	PF17111
Helper component proteinase	PF00851
HemN C-terminal domain	PF06969
HemN_C	PF06969
HemS	PF05171
HemX	PF04375
HemX, putative uroporphyrinogen-III C-methyltransferase	PF04375
HemY protein N-terminus	PF07219
HemY_N	PF07219
Hema_HEFG	PF02710
Hema_esterase	PF03996
Hema_stalk	PF08720
Hemagglutinin	PF00509
Hemagglutinin domain of haemagglutinin-esterase-fusion glycoprotein	PF02710
Hemagglutinin esterase	PF03996
Heme NO binding associated	PF07701
Heme exporter protein D (CcmD)	PF04995
Heme oxygenase	PF01126
Heme-binding protein A (HasA)	PF06438
HemeBinding_Shp	PF11545
Heme_oxygenase	PF01126
Hemerythrin	PF01814
Hemerythrin HHE cation binding domain	PF01814
Hemimethylated DNA-binding protein YccV like	PF08755
Hemin uptake protein hemP	PF10636
Hemocyanin, all-alpha domain	PF03722
Hemocyanin, copper containing domain	PF00372
Hemocyanin, ig-like domain	PF03723
Hemocyanin_C	PF03723
Hemocyanin_M	PF00372
Hemocyanin_N	PF03722
HemolysinCabind	PF00353
Hemolysin_N	PF12563
Hemolytic toxin N terminal	PF12563
Hemopexin	PF00045
Hemopexin	PF00045
Hen1_L	PF12623
HepA-related protein (HARP)	PF07443
Hep_59	PF07052
Hep_core_N	PF08290
Hepar_II_III	PF07940
Hepar_II_III_N	PF16889
Heparinase II/III N-terminus	PF16889
Heparinase II/III-like protein	PF07940
Hepatic lectin, N-terminal domain	PF03954
Hepatitis A virus viral protein VP	PF12944
Hepatitis C virus NS3 protease	PF02907
Hepatitis C virus capsid protein	PF01543
Hepatitis C virus core protein	PF01542
Hepatitis C virus envelope glycoprotein E1	PF01539
Hepatitis C virus non-structural 5a domain 1b	PF08301
Hepatitis C virus non-structural 5a protein membrane anchor	PF01506
Hepatitis C virus non-structural 5a zinc finger domain	PF08300
Hepatitis C virus non-structural protein E2/NS1	PF01560
Hepatitis C virus non-structural protein NS2	PF01538
Hepatitis C virus non-structural protein NS4a	PF01006
Hepatitis C virus non-structural protein NS4b	PF01001
Hepatitis E cysteine protease	PF05417
Hepatitis E virus ORF-2 (Putative capsid protein)	PF02444
Hepatitis core antigen	PF00906
Hepatitis core protein, putative zinc finger	PF08290
Hepatitis delta virus delta antigen	PF01517
Hepatitis_core	PF00906
Hepatocellular carcinoma-associated antigen 59	PF07052
Hepatocyte growth factor-regulated tyrosine kinase substrate	PF12210
Hepatocyte nuclear factor 1 (HNF-1), N terminus	PF04814
Hepatocyte nuclear factor 1 (HNF-1), alpha isoform C terminus	PF04813
Hepatocyte nuclear factor 1 (HNF-1), beta isoform C terminus	PF04812
Hepcidin	PF06446
Hepcidin	PF06446
Hepsin, SRCR	PF09272
Hepsin-SRCR	PF09272
Heptaprenyl diphosphate synthase (HEPPP synthase) subunit 1	PF07307
Heptaprenyl diphosphate synthase component I	PF07456
Hereditary spastic paraplegia protein strumpellin	PF10266
Hermansky-Pudlak syndrome 3	PF14761
Hermansky-Pudlak syndrome 3, C-terminal	PF14763
Hermansky-Pudlak syndrome 3, middle region	PF14762
Hermansky-Pudlak syndrome 6 protein	PF15702
Hermes transposase DNA-binding domain	PF10683
Herp-Cyclin	PF09241
Herpes DNA replication accessory factor	PF04929
Herpes UL74 glycoproteins	PF07982
Herpes simplex virus virion protein 16 C terminal	PF12149
Herpes viral adaptor-to-host cellular mRNA binding domain	PF16852
Herpes virus U44 protein	PF04533
Herpes virus intermediate/early protein 2/3	PF03361
Herpes virus major capsid protein	PF03122
Herpes virus major outer envelope glycoprotein (BLLF1)	PF05109
Herpes virus proteins UL24 and UL76	PF01646
Herpes virus tegument protein U30	PF04523
Herpes-like virus membrane glycoprotein UL141	PF16758
Herpes_BBRF1	PF04793
Herpes_BLLF1	PF05109
Herpes_BLRF2	PF05812
Herpes_BMRF2	PF04633
Herpes_BTRF1	PF04682
Herpes_DNAp_acc	PF04929
Herpes_HEPA	PF03324
Herpes_Helicase	PF02689
Herpes_ICP4_C	PF03585
Herpes_ICP4_N	PF03584
Herpes_IE1	PF07340
Herpes_IE2_3	PF03361
Herpes_IE68	PF02479
Herpes_IR6	PF06307
Herpes_LAMP2	PF06126
Herpes_LMP1	PF05297
Herpes_LMP2	PF07415
Herpes_LP	PF03363
Herpes_MCP	PF03122
Herpes_ORF11	PF04797
Herpes_PAP	PF03325
Herpes_TAF50	PF03326
Herpes_TK	PF00693
Herpes_TK_C	PF08465
Herpes_U15	PF05613
Herpes_U26	PF07402
Herpes_U30	PF04523
Herpes_U34	PF04541
Herpes_U44	PF04533
Herpes_U47	PF05467
Herpes_U5	PF05999
Herpes_U55	PF06501
Herpes_U59	PF04529
Herpes_UL1	PF05259
Herpes_UL14	PF03580
Herpes_UL16	PF03044
Herpes_UL17	PF04559
Herpes_UL20	PF04544
Herpes_UL21	PF03252
Herpes_UL24	PF01646
Herpes_UL25	PF01499
Herpes_UL3	PF03369
Herpes_UL31	PF02718
Herpes_UL32	PF06070
Herpes_UL33	PF03581
Herpes_UL35	PF04496
Herpes_UL36	PF03586
Herpes_UL37_1	PF03970
Herpes_UL37_2	PF07413
Herpes_UL4	PF03277
Herpes_UL42	PF02282
Herpes_UL43	PF05072
Herpes_UL46	PF03387
Herpes_UL47	PF03362
Herpes_UL49_1	PF03117
Herpes_UL49_2	PF04823
Herpes_UL49_5	PF05702
Herpes_UL51	PF04540
Herpes_UL52	PF03121
Herpes_UL55	PF04537
Herpes_UL56	PF04534
Herpes_UL6	PF01763
Herpes_UL69	PF05459
Herpes_UL7	PF01677
Herpes_UL73	PF03554
Herpes_UL74	PF07982
Herpes_UL79	PF03049
Herpes_UL82_83	PF05784
Herpes_UL87	PF03043
Herpes_UL92	PF03048
Herpes_UL95	PF03038
Herpes_US12	PF05363
Herpes_US9	PF06072
Herpes_V23	PF01802
Herpes_VP19C	PF03327
Herpes_alk_exo	PF01771
Herpes_capsid	PF06112
Herpes_env	PF01673
Herpes_gE	PF02480
Herpes_gI	PF01688
Herpes_glycop	PF01528
Herpes_glycop_D	PF01537
Herpes_glycop_H	PF02489
Herpes_gp2	PF05955
Herpes_heli_pri	PF05774
Herpes_ori_bp	PF02399
Herpes_pp38	PF04846
Herpes_pp85	PF04637
Herpes_teg_N	PF04843
Herpesviridae UL52/UL70 DNA primase	PF03121
Herpesviridae viral cyclin	PF09241
Herpesvirus BLRF2 protein	PF05812
Herpesvirus BMRF2 protein	PF04633
Herpesvirus BTRF1 protein conserved region	PF04682
Herpesvirus DNA helicase/primase complex associated protein	PF03324
Herpesvirus Glycoprotein B	PF00606
Herpesvirus ICP4-like protein C-terminal region	PF03585
Herpesvirus ICP4-like protein N-terminal region	PF03584
Herpesvirus IR6 protein	PF06307
Herpesvirus Latent membrane protein 2	PF06126
Herpesvirus U5-like family	PF05999
Herpesvirus U59 protein	PF04529
Herpesvirus UL14-like protein	PF03580
Herpesvirus UL16/UL94 family	PF03044
Herpesvirus UL17 protein	PF04559
Herpesvirus UL21	PF03252
Herpesvirus UL25 family	PF01499
Herpesvirus UL3 protein	PF03369
Herpesvirus UL31-like protein	PF02718
Herpesvirus UL33-like protein	PF03581
Herpesvirus UL35 family	PF04496
Herpesvirus UL36 tegument protein	PF03586
Herpesvirus UL37 tegument protein	PF03970
Herpesvirus UL4 family	PF03277
Herpesvirus UL43 protein	PF05072
Herpesvirus UL46 protein	PF03387
Herpesvirus UL47 protein	PF03362
Herpesvirus UL49 tegument protein	PF04823
Herpesvirus UL49.5 envelope/tegument protein	PF05702
Herpesvirus UL51 protein	PF04540
Herpesvirus UL55 protein	PF04537
Herpesvirus UL56 protein	PF04534
Herpesvirus UL6 like	PF01763
Herpesvirus UL7 like	PF01677
Herpesvirus UL87 family	PF03043
Herpesvirus US12 family	PF05363
Herpesvirus US34A protein family	PF17087
Herpesvirus VP23 like capsid protein	PF01802
Herpesvirus alkaline exonuclease	PF01771
Herpesvirus capsid shell protein VP19C	PF03327
Herpesvirus dUTPase protein	PF04797
Herpesvirus egress protein UL20	PF04544
Herpesvirus glycoprotein D/GG/GX domain	PF01537
Herpesvirus glycoprotein H	PF02489
Herpesvirus glycoprotein L	PF05259
Herpesvirus glycoprotein M	PF01528
Herpesvirus glycoprotein U47	PF05467
Herpesvirus helicase-primase complex component	PF05774
Herpesvirus immediate early protein	PF02479
Herpesvirus large structural phosphoprotein UL32	PF06070
Herpesvirus latent membrane protein 1 (LMP1)	PF05297
Herpesvirus leader protein	PF03363
Herpesvirus phosphoprotein 85 (HHV6-7 U14/HCMV UL25)	PF04637
Herpesvirus polymerase accessory protein	PF03325
Herpesvirus pp38 phosphoprotein	PF04846
Herpesvirus processing and transport protein	PF01366
Herpesvirus protein of unknown function (DUF832)	PF05734
Herpesvirus putative major envelope glycoprotein	PF01673
Herpesvirus tegument protein, N-terminal conserved region	PF04843
Herpesvirus transcription activation factor (transactivator)	PF03326
Herpesvirus transcriptional regulator family	PF05459
Herpesvirus virion protein U34	PF04541
Herpesvirus-7 repeat of unknown function (DUF865)	PF05906
Herpeto_peptide	PF14409
Het-C	PF07217
Het-s 218-289	PF11558
Heterogeneous nuclear ribonucleoprotein M	PF11532
Heterokaryon incompatibility protein (HET)	PF06985
Heterokaryon incompatibility protein Het-C	PF07217
Hex_IIIa	PF02455
Hexameric tyrosine-coordinated heme protein (HTHP)	PF11534
Hexamethylene bis-acetamide-inducible protein	PF15313
Hexapep	PF00132
Hexapep_2	PF14602
Hexapeptide repeat of succinyl-transferase	PF14602
Hexokinase	PF00349
Hexokinase	PF03727
Hexokinase_1	PF00349
Hexokinase_2	PF03727
Hexon, adenovirus major coat protein, C-terminal domain	PF03678
Hexon, adenovirus major coat protein, N-terminal domain	PF01065
Hexon-associated protein (IIIa)	PF02455
Hexose_dehydrat	PF03559
HflK_N	PF12221
HgmA	PF04209
HhH-GPD	PF00730
HhH-GPD superfamily base excision DNA repair protein	PF00730
HiaBD2	PF15403
HiaBD2_N domain of Trimeric autotransporter adhesin (GIN)	PF15403
HicA toxin of bacterial toxin-antitoxin,	PF07927
HicA_toxin	PF07927
HicB	PF05534
HicB family	PF05534
HicB-like_2	PF15970
HicB_like antitoxin of bacterial toxin-antitoxin system	PF15919
HicB_like antitoxin of bacterial toxin-antitoxin system	PF15970
HicB_lk_antitox	PF15919
Hid1	PF12722
HigB-like_toxin	PF05015
HigB_toxin	PF09907
HigB_toxin, RelE-like toxic component of a toxin-antitoxin system	PF09907
High affinity transport system protein p37	PF06646
High molecular weight glutenin subunit	PF03157
High potential iron-sulfur protein	PF01355
High-affinity nickel-transport protein	PF03824
High-affinity nitrate transporter accessory	PF16974
High-temperature-induced dauer-formation protein	PF12722
HindIII restriction endonuclease	PF09518
HindVP restriction endonuclease	PF09519
Hinge domain of cleavage stimulation factor subunit 2	PF14327
Hint	PF01079
Hint domain	PF13403
Hint module	PF01079
Hint-domain	PF14623
Hint_2	PF13403
HipA N-terminal domain	PF13657
HipA-like C-terminal domain	PF07804
HipA-like N-terminal domain	PF07805
HipA_C	PF07804
HipA_N	PF07805
Hira	PF07569
Hirudin	PF00713
Hirudin	PF00713
His Kinase A (phospho-acceptor) domain	PF00512
His(2)-Cys(2) zinc finger	PF09337
HisG	PF01634
HisG, C-terminal domain	PF08029
HisG_C	PF08029
HisKA	PF00512
HisKA_2	PF07568
HisKA_3	PF07730
HisKA_4TM	PF16926
HisKA_7TM	PF16927
HisK_N	PF09385
His_Phos_1	PF00300
His_Phos_2	PF00328
His_binding	PF02098
His_biosynth	PF00977
His_kinase	PF06580
His_leader	PF08047
Hist_deacetyl	PF00850
Hist_rich_Ca-bd	PF10529
Histidine biosynthesis protein	PF00977
Histidine carboxylase PI chain	PF02329
Histidine kinase	PF06580
Histidine kinase	PF07568
Histidine kinase	PF07730
Histidine kinase N terminal	PF09385
Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	PF02518
Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	PF13589
Histidine kinase-like ATPase domain	PF13581
Histidine operon leader peptide	PF08047
Histidine phosphatase superfamily (branch 1)	PF00300
Histidine phosphatase superfamily (branch 2)	PF00328
Histidine phosphotransferase	PF10090
Histidine-rich Calcium-binding repeat region	PF10529
Histidine-rich carboxyl terminus protein 1	PF15758
Histidine-specific methyltransferase, SAM-dependent	PF10017
Histidinol dehydrogenase	PF00815
Histidinol_dh	PF00815
Histidyl-tRNA synthetase	PF13393
Histone	PF00125
Histone H1-like nucleoprotein HC2	PF07382
Histone H1-like protein Hc1	PF07432
