(embryonic) hindbrain flexure	UBERON:0005820
lateral claw of ruminant hoof	UBERON:0014486
lateral commissure	UBERON:4300134
lateral condyle of femur	UBERON:0009985
lateral condyle of quadrate	UBERON:0018334
lateral condyle of tibia	UBERON:0009991
lateral corticospinal tract	UBERON:0002589
lateral crico-arytenoid	UBERON:0008573
lateral cricoarytenoid	UBERON:0008573
lateral cricoarytenoid muscle	UBERON:0008573
lateral cricoarytenoideus	UBERON:0008573
lateral crista ampullaris	UBERON:0007276
lateral crista primordia	UBERON:2000225
lateral crista primordium	UBERON:2000225
lateral cristae	UBERON:0007276
lateral cuneate nucleus	UBERON:0002864
lateral cuneiform	UBERON:0001454
lateral cuneiform bone	UBERON:0001454
lateral division	UBERON:2000532
lateral division of basal nucleus	UBERON:0002888
lateral division of hypothalamus	UBERON:0002430
lateral division of the basal nucleus	UBERON:0002888
lateral dorsal aorta	UBERON:2001054
lateral dorsal aorta canal	UBERON:0018335
lateral dorsal digital artery for digit 05	UBERON:0006166
lateral dorsal digital artery for digit 5	UBERON:0006166
lateral dorsal digital artery for digit V	UBERON:0006166
lateral dorsal nucleus	UBERON:0002984
lateral dorsal nucleus of thalamus	UBERON:0002984
lateral dorsal thalamic nucleus	UBERON:0002984
lateral eminence of fourth ventricle	UBERON:0034672
lateral eminence of hypophysis	UBERON:0027109
lateral entopeduncular nucleus	UBERON:2000176
lateral entorhinal cortex	UBERON:0007225
lateral epicondyle of femur	UBERON:0009986
lateral ethmoid bone	UBERON:2000226
lateral ethmoid cartilage	UBERON:4300110
lateral ethmoid element	UBERON:4300111
lateral ethmoid palatine process	UBERON:2001604
lateral ethmoid ventral wing	UBERON:2001616
lateral ethmoid wing	UBERON:2001616
lateral ethmoid-autopalatine ligament	UBERON:2001944
lateral ethmoid-ectopterygoid ligament	UBERON:2001685
lateral ethmoid-frontal joint	UBERON:2002032
lateral ethmoids	UBERON:2000226
lateral extrascapular	UBERON:4200099
lateral fillet	UBERON:0002953
lateral fissure	UBERON:0002721
lateral fissure of Sylvius	UBERON:0002721
lateral floor plate	UBERON:2001256
lateral fontanel of frontal	UBERON:2002011
lateral forebrain bundle	UBERON:2007012
lateral forebrain bundle telencephalon	UBERON:2000779
lateral fornix of vagina	UBERON:0034963
lateral funiculus	UBERON:0002179
lateral funiculus of spinal cord	UBERON:0002179
lateral ganglionic eminence	UBERON:0004025
lateral geniculate body	UBERON:0001926
lateral geniculate complex	UBERON:0001926
lateral geniculate complex, dorsal part	UBERON:0002479
lateral geniculate complex, ventral part	UBERON:0002480
lateral geniculate complex, ventral part (kolliker)	UBERON:0002480
lateral geniculate nucleus	UBERON:0001926
lateral geniculate nucleus magnocellular layer	UBERON:0013606
lateral geniculate nucleus parvocellular layer	UBERON:0022319
lateral geniculate nucleus, dorsal part	UBERON:0002479
lateral geniculate nucleus, ventral part	UBERON:0002480
lateral gland of orbital region	UBERON:0015154
lateral globus pallidus	UBERON:0002476
lateral granular eminence	UBERON:2000187
lateral gray column of spinal cord	UBERON:0004676
lateral gray horn	UBERON:0004676
lateral gray matter of spinal cord	UBERON:0004676
lateral group of hypothalamic nuclei	UBERON:0002430
lateral group of medullary reticular formation	UBERON:0009775
lateral group of nuclei	UBERON:0002736
lateral group of the dorsal thalamus	UBERON:0002736
lateral habenula	UBERON:0001941
lateral habenular nucleus	UBERON:0001941
lateral head of gastrocnemius	UBERON:0011908
lateral head of gastrocnemius muscle	UBERON:0011908
lateral head vein	UBERON:2005026
lateral horn of spinal cord	UBERON:0004676
lateral hub of the semicircular canal	UBERON:2007055
lateral hypothalamic area	UBERON:0002430
lateral hypothalamic group	UBERON:0002430
lateral hypothalamic nucleus	UBERON:0001937
lateral hypothalamic region	UBERON:0002430
lateral hypothalamic region segment	UBERON:0002785
lateral hypothalamic zone (Crosby)	UBERON:0002430
lateral incisor	UBERON:0018552
lateral incisor tooth	UBERON:0018552
lateral inferior limiting sulcus	UBERON:0002737
lateral interpositus (emboliform) nucleus	UBERON:0002602
lateral lamina of pterygoid process	UBERON:0010389
lateral larval melanophore stripe	UBERON:2005223
lateral lemniscus	UBERON:0002953
lateral lemniscus nuclei	UBERON:0006840
lateral lemniscus nucleus	UBERON:0006840
lateral line	UBERON:0010202
lateral line canal	UBERON:2001612
lateral line canal lumen	UBERON:1500003
lateral line ganglia	UBERON:2000120
lateral line ganglion	UBERON:2000120
lateral line nerve	UBERON:0008906
lateral line nerves	UBERON:0008906
lateral line neuromast	UBERON:0008904
lateral line nucleus	UBERON:3010706
lateral line placode	UBERON:0009128
lateral line primordia	UBERON:2000228
lateral line primordium	UBERON:2000228
lateral line scale	UBERON:2001824
lateral line scale series	UBERON:2002099
lateral line sense organ	UBERON:0035555
lateral line sensory nucleus	UBERON:2000381
lateral line system	UBERON:0002540
lateral lines	UBERON:0010202
lateral lingual swelling	UBERON:0006757
lateral lingual swelling epithelium	UBERON:0009522
lateral lobe of prostate	UBERON:0013637
lateral lobe of prostate gland	UBERON:0013637
lateral lobe of thymus	UBERON:0005483
lateral longitudinal stria	UBERON:0019283
lateral longitundinal fasciculus	UBERON:2000534
lateral lumbar region of abdomen	UBERON:0000180
lateral malleal ligament	UBERON:0018157
lateral malleolus of fibula	UBERON:0012291
lateral mammillary hypothalamic nucleus	UBERON:0001938
lateral mammillary nucleus	UBERON:0001938
lateral mammillary nucleus (gagel)	UBERON:0002664
lateral marginal vein	UBERON:0001548
lateral marginal vein of foot	UBERON:0001548
lateral mediodorsal nucleus	UBERON:0002654
lateral medulary lamina of globus pallidus	UBERON:0002765
lateral medulary stria	UBERON:0002765
lateral medullary lamina	UBERON:0002765
lateral medullary lamina of corpus striatum	UBERON:0002765
lateral medullary lamina of globus pallidus	UBERON:0002765
lateral medullary lamina of pallidum	UBERON:0002765
lateral medullary reticular complex	UBERON:0009775
lateral medullary reticular group	UBERON:0009775
lateral medullary stria	UBERON:0002765
lateral mesenchyme derived from mesoderm	UBERON:0007683
lateral mesethmoid wing	UBERON:2001747
lateral mesoderm	UBERON:0003081
lateral metatarsal pad	UBERON:0013627
lateral migration pathway NC-derived mesenchyme	UBERON:0011209
lateral migration pathway mesenchyme	UBERON:0011209
lateral nasal cartilage	UBERON:0007821
lateral nasal gland	UBERON:0035077
lateral nasal process	UBERON:0004067
lateral nasal process mesenchyme	UBERON:0009205
lateral nasal process surface ectoderm	UBERON:0009206
lateral nasal prominence	UBERON:0004067
lateral nasopharynx	UBERON:0035383
lateral nuclear group	UBERON:0002736
lateral nuclear group of dorsal thalamus	UBERON:0002736
lateral nuclear group of thalamus	UBERON:0002736
lateral nucleus of Deiters	UBERON:0007230
lateral nucleus of amygdala	UBERON:0002886
lateral nucleus of cerebellum	UBERON:0002132
lateral nucleus of mammillary body	UBERON:0001938
lateral nucleus of medial dorsal nucleus of thalamus	UBERON:0002654
lateral nucleus of stria terminalis	UBERON:0034894
lateral nucleus of thalamus	UBERON:0002736
lateral nucleus of trapezoid body	UBERON:0016843
lateral occipital cortex	UBERON:0006114
lateral occipital cortex, inferior division	UBERON:0022367
lateral occipital cortex, inferior division (OLI)	UBERON:0022367
lateral occipital cortex, superior division	UBERON:0022368
lateral occipital gyrus	UBERON:0006114
lateral occipital sulcus	UBERON:0002904
lateral occipitotemporal gyrus	UBERON:0002766
lateral occipitotemporal gyrus (heimer-83)	UBERON:0002751
lateral occipitotemporal sulcus	UBERON:0002693
lateral ocellus	UBERON:0003162
lateral ocular gland	UBERON:0015154
lateral olfactory gyrus	UBERON:0002590
lateral olfactory stria	UBERON:0001888
lateral olfactory tract nucleus	UBERON:0002893
lateral orbital frontal cortex	UBERON:0022716
lateral orbital gland	UBERON:0015154
lateral orbital gyrus	UBERON:0002564
lateral orbital sulcus	UBERON:0026384
lateral palatine process	UBERON:0005619
lateral pallidal segment	UBERON:0002476
lateral pallidum	UBERON:0002476
lateral pallium	UBERON:0014741
lateral palpebral artery	UBERON:0014772
lateral palpebral branch of ophthalmic artery	UBERON:0014772
lateral palpebral commissure	UBERON:0006726
lateral parabrachial nucleus	UBERON:0003007
lateral paragigantocellular nucleus	UBERON:0016824
lateral paragigantocellular reticular nucleus	UBERON:0016824
lateral parasymphysial foramen	UBERON:4200247
lateral parolfactory nucleus	UBERON:0002667
lateral part of basal amygdaloid nucleus	UBERON:0002888
lateral part of fornix of vagina	UBERON:0034963
lateral part of globus pallidus	UBERON:0002476
lateral part of medial mammillary nucleus	UBERON:0002664
lateral part of mediodorsal nucleus of the thalamus	UBERON:0035114
lateral part of occipital bone	UBERON:0001693
lateral part of substantia nigra	UBERON:0002995
lateral pelvic gland	UBERON:4300130
lateral pelvic process	UBERON:2002074
lateral pericuneate nucleus	UBERON:0002874
lateral periolivary nucleus	UBERON:0016637
lateral pes lemniscus	UBERON:0003010
lateral pharyngeal space	UBERON:0035618
lateral plantar nerve	UBERON:0035110
lateral plate mesoderm	UBERON:0003081
lateral plate of pterygoid process	UBERON:0010389
lateral plate of sphenoid	UBERON:0010389
lateral pontine bundle	UBERON:0003010
lateral popliteal nerve	UBERON:0001324
lateral posterior nucleus	UBERON:0002983
lateral posterior nucleus of thalamus	UBERON:0002983
lateral posterior nucleus of the thalamus	UBERON:0002983
lateral posterior thalamic nucleus	UBERON:0002983
lateral preglomerular nucleus	UBERON:2000209
lateral preoptic area	UBERON:0001931
lateral preoptic hypothalamic nucleus	UBERON:0001931
lateral preoptic nucleus	UBERON:0001931
lateral pretrosal artery	UBERON:3010494
lateral principal nucleus of amygdala	UBERON:0002886
lateral process 1	UBERON:2001392
lateral process 2	UBERON:2001393
lateral process of basipterygium	UBERON:2002076
lateral process of basiventral	UBERON:0003109
lateral process of cricoid cartilage	UBERON:3000677
lateral process of malleus	UBERON:0014397
lateral pteregoid	UBERON:0006719
lateral pteregoid muscle	UBERON:0006719
lateral pterygoid	UBERON:0006719
lateral pterygoid muscle	UBERON:0006719
lateral pterygoid nerve	UBERON:0013647
lateral pterygoid plate	UBERON:0010389
lateral pulvinar nucleus	UBERON:0002636
lateral pulvinar nucleus of thalamus	UBERON:0002636
lateral pyramidal tract	UBERON:0002589
lateral recess	UBERON:3010197
lateral recess of diencephalic ventricle	UBERON:0008902
lateral recess of fourth ventricle	UBERON:0007656
lateral recess of third vetricle	UBERON:0008902
lateral rectus	UBERON:0001603
lateral rectus capitis	UBERON:0003250
lateral rectus extra-ocular muscle	UBERON:0001603
lateral rectus extraocular muscle	UBERON:0001603
lateral rectus muscle	UBERON:0001603
lateral rectus nerve	UBERON:0001646
lateral region	UBERON:0000180
lateral region of abdomen	UBERON:0000180
lateral reticular formation of the medulla oblongata	UBERON:0009775
lateral reticular nucleus	UBERON:0002154
lateral reticular nucleus (medulla)	UBERON:0002154
lateral rostral	UBERON:2000127
lateral saphenous vein	UBERON:0007321
lateral segment of globus pallidus	UBERON:0002476
lateral segment of left lobe of liver	UBERON:0006727
lateral segment of liver	UBERON:0006727
lateral semicircular canal	UBERON:0001843
lateral semicircular canal epithelial tissue	UBERON:0003240
lateral semicircular canal epithelium	UBERON:0003240
lateral semicircular canal primordia	UBERON:2000232
lateral semicircular canal primordium	UBERON:2000232
lateral semicircular canal sensory patch	UBERON:0007276
lateral semicircular canal sensory patches	UBERON:0007276
lateral semicircular duct	UBERON:0001859
lateral septal area	UBERON:0007628
lateral septal complex	UBERON:0007628
lateral septal nucleus	UBERON:0002667
lateral septal nucleus (cajal)	UBERON:0002667
lateral septum	UBERON:0002667
lateral septum nucleus	UBERON:0002667
lateral side of chest	UBERON:0019199
lateral spinal nucleus	UBERON:0035024
lateral spiriform nucleus	UBERON:0035591
lateral structure	UBERON:0015212
lateral subdivision of BNST	UBERON:0034894
lateral subdivision of medial mammillary nucleus	UBERON:0002664
lateral sulcus	UBERON:0002721
lateral superior olivary nucleus	UBERON:0002779
lateral superior olive	UBERON:0002779
lateral surface of mandible	UBERON:0011344
lateral surface of ramus of mandible	UBERON:0011344
lateral temporal fenestra	UBERON:0014461
lateral terminal nucleus of the accessory optic tract	UBERON:0013600
lateral thalamic group	UBERON:0002736
lateral thalamic nuclei	UBERON:0002736
lateral thalamic nucleus	UBERON:0002736
lateral thoracic artery	UBERON:0001396
lateral thoracic vein	UBERON:0002088
lateral thyrohyoid ligament	UBERON:0010926
lateral tuber of ulna	UBERON:4200014
lateral tuberal hypothalamic nuclei	UBERON:0000435
lateral tuberal nuclear complex	UBERON:0000435
lateral tuberal nuclei	UBERON:0000435
lateral tuberal nucleus	UBERON:0000435
lateral tubercle of astragalus	UBERON:4200182
lateral tubercle of talus	UBERON:0010724
lateral ungual phalanx of artiodactyl	UBERON:0014486
lateral vagina	UBERON:0013523
lateral vaginae	UBERON:0013523
lateral vaginal canal	UBERON:0013523
lateral vein	UBERON:3010515
lateral ventral nucleus of thalamus	UBERON:0001925
lateral ventricle	UBERON:0002285
lateral ventricle chorioid plexus of cerebral hemisphere	UBERON:0002307
lateral ventricle chorioid plexus of cerebral hemisphere epithelial tissue	UBERON:0004274
lateral ventricle chorioid plexus of cerebral hemisphere epithelium	UBERON:0004274
lateral ventricle choroid fissure	UBERON:0002192
lateral ventricle choroid plexus	UBERON:0002307
lateral ventricle choroid plexus epithelial tissue	UBERON:0004274
lateral ventricle choroid plexus epithelium	UBERON:0004274
lateral ventricle choroid plexus stroma	UBERON:0006338
lateral ventricle ependyma	UBERON:0004643
lateral ventricle epithelial tissue of chorioid plexus of cerebral hemisphere	UBERON:0004274
lateral ventricle epithelial tissue of choroid plexus	UBERON:0004274
lateral ventricle epithelium of chorioid plexus of cerebral hemisphere	UBERON:0004274
lateral ventricle epithelium of choroid plexus	UBERON:0004274
lateral ventricle subependymal layer	UBERON:0010404
lateral ventricles	UBERON:0002285
lateral ventricular body	UBERON:0002655
lateral vestibular nucleus	UBERON:0007230
lateral visual area	UBERON:0035895
lateral visual area, layer 4	UBERON:0035915
lateral visual area, layer 5	UBERON:0035916
lateral visual area, layer 6a	UBERON:0035918
lateral wall diencephalic region	UBERON:0005591
lateral wall diencephalon	UBERON:0005591
lateral wall midbrain	UBERON:0005495
lateral wall midbrain region	UBERON:0005495
lateral wall neural rod	UBERON:2000993
lateral wall neural tube	UBERON:0005496
lateral wall of nasopharynx	UBERON:0035383
lateral wall of oropharynx	UBERON:0035286
lateral wall of syrinx	UBERON:0009076
lateral wall of tympanic cavity	UBERON:0002364
lateral wall rhombomere 1	UBERON:0005567
lateral wall rhombomere 2	UBERON:0005571
lateral wall rhombomere 3	UBERON:0005574
lateral wall rhombomere 4	UBERON:0005577
lateral wall rhombomere 5	UBERON:0005580
lateral wall rhombomere 6	UBERON:0005583
lateral wall rhombomere 7	UBERON:0005586
lateral wall rhombomere 8	UBERON:0005589
lateral wall spinal cord	UBERON:0009582
lateral wall telencephalic region	UBERON:0005561
lateral wall telencephalon	UBERON:0005561
lateral white column of spinal cord	UBERON:0002179
lateral white stria of lancisi	UBERON:0019283
lateral zone of D	UBERON:0014741
lateral zone of dorsal telencephalic area	UBERON:0014741
lateral zone of dorsal telencephalon	UBERON:0014738
lateral zone of hypothalamus	UBERON:0002273
lateral-intermediate intercuneiform joint	UBERON:0012133
lateral-line canal	UBERON:2001612
laterale haubenfussschleife	UBERON:0003010
laterale pontine buendel	UBERON:0003010
latero-nasal process	UBERON:0004067
laterodorsal nucleus nucleus of thalamus	UBERON:0002984
laterodorsal nucleus thalamic nucleus	UBERON:0002984
laterodorsal nucleus, caudal part	UBERON:0002983
laterodorsal nucleus, superficial part	UBERON:0002984
laterodorsal tegmental nucleus	UBERON:0002267
laterodorsal thalamic nucleus	UBERON:0002984
lateroobronchus	UBERON:0012088
lateroposterior tegmental nucleus	UBERON:0002267
lateropterygium	UBERON:2002077
latissimi dorsi	UBERON:0001112
latissimus dorsi	UBERON:0001112
latissimus dorsi muscle	UBERON:0001112
latissimus dorsi pre-muscle mass	UBERON:0010982
latissimus dorsi process	UBERON:4200100
latus	UBERON:0000180
layer 1 of neocortex	UBERON:0005390
layer 1 of piriform cortex	UBERON:0014277
layer 2 of piriform cortex	UBERON:0014280
layer 3 of neocortex	UBERON:0005392
layer 3 of piriform cortex	UBERON:0014283
layer 4 of neocortex	UBERON:0005393
layer 5 of neocortex	UBERON:0005394
layer I of dorsolateral prefrontal cortex	UBERON:0035153
layer I of neocortex	UBERON:0005390
layer I of superior colliculus	UBERON:0006780
layer II of dorsolateral prefrontal cortex	UBERON:0035154
layer II of neocortex	UBERON:0005391
layer II of piriform cortex	UBERON:0014280
layer II of superior colliculus	UBERON:0006120
layer III of dorsolateral prefrontal cortex	UBERON:0035155
layer III of neocortex	UBERON:0005392
layer III of superior colliculus	UBERON:0006779
layer IV of neocortex	UBERON:0005393
layer IV of piriform cortex	UBERON:0014284
layer IV of superior colliculus	UBERON:0006788
layer V of dorsolateral prefrontal cortex	UBERON:0035157
layer V of neocortex	UBERON:0005394
layer V of superior colliculus	UBERON:0006787
layer VI of dorsolateral prefrontal cortex	UBERON:0035158
layer VI of neocortex	UBERON:0005395
layer VI of superior colliculus	UBERON:0006789
layer VII of superior colliculus	UBERON:0006790
layer of CA1 field	UBERON:0035786
layer of CA2 field	UBERON:0035787
layer of CA3 field	UBERON:0035788
layer of Waldeyer	UBERON:0006118
layer of cells	UBERON:0000119
layer of cerebellar cortex	UBERON:0004130
layer of cerebellum	UBERON:0004130
layer of dentate gyrus	UBERON:0002304
layer of developing cerebral cortex	UBERON:0014950
layer of dura mater	UBERON:0010507
layer of hippocampal field	UBERON:0014567
layer of hippocampus	UBERON:0002305
layer of lateral geniculate body	UBERON:0013605
layer of meninges	UBERON:0002360
layer of microvilli	UBERON:0012423
layer of muscle tissue	UBERON:0018260
layer of myocardium	UBERON:0004123
layer of neocortex	UBERON:0002301
layer of nerve fibers of retina	UBERON:0001793
layer of nerve fibres of retina	UBERON:0001793
layer of optic tectum	UBERON:0006783
layer of retina	UBERON:0001781
layer of sclera	UBERON:0010291
layer of skin	UBERON:0013754
layer of smooth muscle tissue	UBERON:0034933
layer of superior colliculus	UBERON:0006783
layer of synovial tissue	UBERON:0007616
layer of theca cells	UBERON:0000155
layer of tympanic membrane	UBERON:0010071
layer of waldeyer	UBERON:0006118
leaflet of mitral valve	UBERON:0007151
leaflet of tricuspid valve	UBERON:0005484
least splanchnic nerve	UBERON:0001964
least thoracic splanchnic nerve	UBERON:0001964
left AVC	UBERON:0003907
left adrenal cortex	UBERON:0035825
left adrenal gland	UBERON:0001234
left adrenal gland cortex	UBERON:0035825
left adrenal gland medulla	UBERON:0035826
left adrenal medulla	UBERON:0035826
left angle of eye	UBERON:0015121
left anterior cardinal vein	UBERON:0009771
left anterior vena cava	UBERON:0006765
left atrial cavity	UBERON:0016513
left atrial endocardium	UBERON:0034903
left atrio-ventricular canal	UBERON:0003907
left atrioventricular canal	UBERON:0003907
left atrioventricular valve	UBERON:0002135
left atrium	UBERON:0002079
left atrium auricular region	UBERON:0006630
left atrium auricular region endocardium	UBERON:0011006
left atrium auricular region heart muscle	UBERON:0009780
left atrium endocardium	UBERON:0034903
left atrium heart muscle	UBERON:0003380
left atrium lumen	UBERON:0016513
left atrium myocardium	UBERON:0003380
left atrium of heart	UBERON:0002079
left auditory cortex	UBERON:0009898
left auricle	UBERON:0006630
left auricle endocardium	UBERON:0011006
left auricula	UBERON:0006630
left auricular appendix	UBERON:0006630
left branch of atrioventricular bundle	UBERON:0005986
left branch of hepatic artery	UBERON:0015481
left bronchus mucosa	UBERON:0005035
left bronchus mucosa of organ	UBERON:0005035
left bronchus mucous membrane	UBERON:0005035
left bronchus organ mucosa	UBERON:0005035
left bronchus submucosa	UBERON:0004948
left bundle branch	UBERON:0005986
left bundle branch of bundle of His	UBERON:0005986
left bundle of atrioventricular bundle	UBERON:0005986
left cardiac atrium	UBERON:0002079
left cardiac chamber	UBERON:0035553
left cardiac ventricle	UBERON:0002084
left cerebral hemisphere	UBERON:0002812
left channel of ventral aorta	UBERON:3010413
left circumflex branch of left coronary artery	UBERON:0035422
left clavicle	UBERON:0008256
left colic flexure	UBERON:0022276
left colon	UBERON:0008971
left common cardinal vein	UBERON:0009769
left common carotid artery	UBERON:0001536
left common carotid artery plus branches	UBERON:0001536
left common iliac artery	UBERON:0035529
left coronary arterial branch	UBERON:0035395
left coronary artery	UBERON:0001626
left crus of atrioventricular bundle	UBERON:0005986
left crus of diaphragm	UBERON:0014767
left crus of lumbar part of diaphragm	UBERON:0014767
left dome of diaphragm	UBERON:0007166
left dome of diaphragm viewed radiologically	UBERON:0007166
left dorsal aorta	UBERON:0005613
left dorsal thalamus	UBERON:0013683
left ear	UBERON:0035295
left external ear	UBERON:0006617
left extraembryonic umbilical artery	UBERON:0011696
left extraembryonic umbilical vein	UBERON:0014787
left extremity of pancreas	UBERON:0001151
left eye	UBERON:0004548
left eyeball	UBERON:0004548
left fallopian tube	UBERON:0001303
left fallopian tube mucosa	UBERON:0005012
left fallopian tube mucosa of organ	UBERON:0005012
left fallopian tube mucous membrane	UBERON:0005012
left fallopian tube organ mucosa	UBERON:0005012
left frontal lobe	UBERON:0002811
left gastric artery	UBERON:0001192
left gastric vein	UBERON:0014690
left gastro-epiploic artery	UBERON:0035830
left gastro-omental artery	UBERON:0035830
left gastroepiploic artery	UBERON:0035830
left gastroomental artery	UBERON:0035830
left hemisphere	UBERON:0002812
left hemisphere of cerebellum	UBERON:0014889
left hepatic artery	UBERON:0015481
left hepatic duct	UBERON:0001177
left hepatic duct mucosa	UBERON:0005003
left hepatic duct mucosa of organ	UBERON:0005003
left hepatic duct mucous membrane	UBERON:0005003
left hepatic duct organ mucosa	UBERON:0005003
left hepatic duct submucosa	UBERON:0004942
left hepatic ductal mucosa	UBERON:0005003
left hepatic ductal submucosa	UBERON:0004942
left hepatic recess	UBERON:0006342
left hepatic vein	UBERON:0011955
left horn of sinus venosus	UBERON:0005091
left iliac fossa viewed surgically	UBERON:0035410
left iliac region	UBERON:0035410
left inferior gastric artery	UBERON:0035830
left inferior lobar bronchus	UBERON:0012066
left inguinal part of abdomen	UBERON:0035410
left inguinal region	UBERON:0035410
left inner canthus	UBERON:0013680
left internal carotid artery	UBERON:0007142
left kidney	UBERON:0004538
left kidney interstitium	UBERON:0018113
left lateral palpebral commissure	UBERON:0015121
left lateral ventricle	UBERON:0013161
left limbic lobe	UBERON:0002804
left liver lobe	UBERON:0001115
left lobar bronchus	UBERON:0003405
left lobe hepatic sinusoids	UBERON:0009548
left lobe of liver	UBERON:0001115
left lobe of thymus	UBERON:0005457
left lobe of thyroid gland	UBERON:0001120
left lower lobar bronchus	UBERON:0012066
left lower lobe	UBERON:0008953
left lower lobe bronchus	UBERON:0012066
left lower lobe of lung	UBERON:0008953
left lung	UBERON:0002168
left lung alveolar duct	UBERON:0003537
left lung alveolar system	UBERON:0006525
left lung alveolus	UBERON:0004862
left lung associated mesenchyme	UBERON:0009602
left lung bronchiole	UBERON:0003539
left lung bronchiolus respiratorius	UBERON:0003543
left lung bronchiolus terminalis	UBERON:0003541
left lung caudal lobe	UBERON:0008953
left lung caudal lobe bronchiole	UBERON:0012055
left lung cranial lobe	UBERON:0008952
left lung cranial lobe bronchiole	UBERON:0012056
left lung endothelium	UBERON:0005673
left lung epithelial tissue	UBERON:0003365
left lung epithelium	UBERON:0003365
left lung hilum	UBERON:0004887
left lung hilus	UBERON:0004887
left lung lobar bronchus	UBERON:0003405
left lung lobar bronchus epithelium	UBERON:0015794
left lung lobe	UBERON:0008951
left lung lobular bronchiole	UBERON:0003539
left lung lower lobe bronchiole	UBERON:0012055
left lung respiratory bronchiole	UBERON:0003543
left lung secondary bronchus	UBERON:0003405
left lung terminal bronchiole	UBERON:0003541
left lung upper lobe bronchiole	UBERON:0012056
left lymph heart	UBERON:0034960
left main bronchial mucosa	UBERON:0005035
left main bronchial submucosa	UBERON:0004948
left main bronchus	UBERON:0002178
left main bronchus mucosa	UBERON:0005035
left main bronchus mucosa of organ	UBERON:0005035
left main bronchus mucous membrane	UBERON:0005035
left main bronchus organ mucosa	UBERON:0005035
left main bronchus submucosa	UBERON:0004948
left main pulmonary artery	UBERON:0001652
left major bronchus	UBERON:0002178
left medial canthus	UBERON:0013680
left medial palpebral commissure	UBERON:0013680
left nipple	UBERON:0013772
left occipital lobe	UBERON:0002806
left orbital part of face	UBERON:0004548
left orbital region	UBERON:0004548
left outer canthus	UBERON:0015121
left ovary	UBERON:0002119
left oviduct	UBERON:0001303
left oviduct mucosa	UBERON:0005012
left oviduct mucosa of organ	UBERON:0005012
left oviduct mucous membrane	UBERON:0005012
left oviduct organ mucosa	UBERON:0005012
left parietal lobe	UBERON:0002802
left part of face	UBERON:1000008
left part of hepatic artery proper	UBERON:0015481
left pelvic girdle	UBERON:0011093
left pelvic girdle region	UBERON:0011093
left postcardinal vein	UBERON:0013124
left posterior branch	UBERON:0005986
left posterior bundle	UBERON:0005986
left posterior cardinal vein	UBERON:0013124
left precardinal vein	UBERON:0009771
left primary bronchus	UBERON:0002178
left principal bronchus	UBERON:0002178
left principal bronchus mucosa	UBERON:0005035
left principal bronchus mucosa of organ	UBERON:0005035
left principal bronchus mucous membrane	UBERON:0005035
left principal bronchus organ mucosa	UBERON:0005035
left principal bronchus submucosa	UBERON:0004948
left pulmonary arterial tree	UBERON:0001652
left pulmonary artery	UBERON:0001652
left pulmonary hilum	UBERON:0004887
left pulmonary hilus	UBERON:0004887
left pulmonary lingula	UBERON:0008954
left pulmonary vein	UBERON:0009030
left pupil	UBERON:0010223
left putamen	UBERON:0008884
left recurrent laryngeal branch	UBERON:0011766
left recurrent laryngeal nerve	UBERON:0011766
left renal arterial tree	UBERON:0001186
left renal artery	UBERON:0001186
left renal cortex interstitium	UBERON:0018117
left renal medulla interstitium	UBERON:0018119
left renal pelvis	UBERON:0018115
left renal sinus	UBERON:0006195
left renal stroma	UBERON:0018113
left renal vein	UBERON:0001142
left spermatic artery	UBERON:0001189
left spermatic vein	UBERON:0000443
left spleen primordium	UBERON:0006293
left sub-lobar region	UBERON:0024900
left subcardinal vein	UBERON:0013125
left subclavian artery	UBERON:0001584
left subcostal vein	UBERON:0035252
left subhepatic recess	UBERON:0006342
left superior intercostal vein	UBERON:0012195
left superior lobar bronchus	UBERON:0012065
left superior vena cava	UBERON:0006765
left supracardinal vein	UBERON:0008267
left suprarenal gland	UBERON:0001234
left suprarenal vein	UBERON:0035483
left telencephalic ventricle	UBERON:0013161
left temporal lobe	UBERON:0002808
left testicle	UBERON:0004533
left testicular artery	UBERON:0001189
left testicular vein	UBERON:0000443
left testis	UBERON:0004533
left thymic lobe	UBERON:0005457
left thymus lobe	UBERON:0005457
left thyroid lobe	UBERON:0001120
left umbilical artery	UBERON:0005458
left umbilical vein	UBERON:0005459
left upper lobar bronchus	UBERON:0012065
left upper lobe	UBERON:0008952
left upper lobe bronchus	UBERON:0012065
left upper lobe of lung	UBERON:0008952
left ureter	UBERON:0001223
left ureter mucosa	UBERON:0005005
left ureter mucosa of organ	UBERON:0005005
left ureter mucous membrane	UBERON:0005005
left ureter organ mucosa	UBERON:0005005
left ureteral mucosa	UBERON:0005005
left uterine horn	UBERON:0009020
left uterine tube	UBERON:0001303
left uterine tube mucosa	UBERON:0005012
left uterine tube mucosa of organ	UBERON:0005012
left uterine tube mucous membrane	UBERON:0005012
left uterine tube organ mucosa	UBERON:0005012
left vagus X nerve trunk	UBERON:0035020
left vagus neural trunk	UBERON:0035020
left ventricle	UBERON:0002084
left ventricle endocardium	UBERON:0009713
left ventricle myocardium	UBERON:0006566
left ventricle of heart	UBERON:0002084
left ventricle proper	UBERON:0034704
left ventricular cardiac muscle tissue	UBERON:0003382
left ventricular cavity	UBERON:0016514
left ventricular compact myocardium	UBERON:0005063
left ventricular endocardium	UBERON:0009713
